Site,Date,DO (mg/L) - Top,DO (mg/L) - Bot,Fecal Coliform (#/100 mL) - Top,Fecal Coliform (#/100 mL) - Bot,Enterococcus (#/100 mL) - Top,Enterococcus (#/100 mL) - Bot,Transparency (Secchi) ft,Weather (Dry = D / Wet = W)
CIC2,12/18/2017,9.22,NS,420,NS,520,NS,NS,W
GC3,12/18/2017,12.68,12.62,10,10,10,10,NS,W 
GC4,12/18/2017,12.73,12.67,10,10,10,10,NS,W
GC5,12/18/2017,12.72,12.67,10,10,30,10,NS,W
GC6,12/18/2017,12.41,12.37,50,10,20,10,NS,W
SP1,12/18/2017,10.06,NS,40,NS,10,NS,NS,W
AC1,12/12/2017,9.55,NS,2900,NS,9000,NS,NS,D
AC2,12/12/2017,2.27,NS,5100,NS,8000,NS,NS,D
BR1,12/12/2017,11.5,NS,2500,NS,200,NS,NS,D
BR3,12/12/2017,8.53,NS,96,NS,228,NS,NS,D
E12,12/12/2017,9.54,NS,32,NS,20,NS,NS,D
E13,12/12/2017,8.8,NS,14,NS,5,NS,NS,D
HR03,12/12/2017,7.31,NS,520,NS,276,NS,NS,D
HR1,12/12/2017,8.83,NS,116,NS,64,NS,NS,D
HR2,12/12/2017,6.68,NS,570,NS,340,NS,NS,D
WC1,12/12/2017,7.89,NS,159,NS,88,NS,NS,D
WC2,12/12/2017,6.08,NS,6600,NS,490,NS,NS,D
WC3,12/12/2017,8.87,NS,18,NS,24,NS,NS,D
BB2,12/11/2017,8.5,8.4,390,NS,16,NS,5,W
BB4,12/11/2017,8.98,9.11,330,NS,4,NS,7,W
GHC,12/11/2017,9.34,9.6,4,NS,2,NS,8.5,W
HOB,12/11/2017,9.44,9.46,100,NS,4,NS,8,W
J1,12/11/2017,8.79,8.96,12,NS,2,NS,6,W
J10,12/11/2017,8.72,8.83,12,NS,2,NS,8.5,W
J11,12/11/2017,8.66,8.4,172,NS,16,NS,4,W
J12,12/11/2017,9.39,8.47,148,NS,2,NS,7.5,W
J2,12/11/2017,8.99,8.74,4,NS,4,NS,6.5,W
J3,12/11/2017,8.86,8.93,8,NS,2,NS,11,W
J5,12/11/2017,9.27,9.95,12,NS,2,NS,7,W
J7,12/11/2017,9.3,9.19,56,NS,2,NS,8.5,W
J8,12/11/2017,8.97,9.01,16,NS,2,NS,13,W
J9A,12/11/2017,8.58,9.03,10,NS,2,NS,11.5,W
JA1,12/11/2017,8.96,9.13,44,NS,2,NS,8,W
N16,12/11/2017,8.68,8.66,6,NS,2,NS,4,W
N9,12/11/2017,8.74,8.82,48,NS,89,NS,4.5,W
N9A,12/11/2017,8.59,8.85,34,NS,20,NS,4,W
PB2,12/11/2017,8.55,8.72,32,NS,4,NS,9.5,W
PB3,12/11/2017,8.96,9,4,NS,2,NS,10,W
SP2,12/11/2017,9.06,NS,8,NS,8,NS,10,W
TB1,12/11/2017,8.79,9.35,10,NS,8,NS,6.5,W
TB2,12/11/2017,9.05,9.29,40,NS,8,NS,7.5,W
F1,12/7/2017,8.69,NS,114,NS,12,NS,NS,D
F5,12/7/2017,8.97,NS,99,NS,2,NS,NS,D
HC1,12/7/2017,7.62,NS,1180,NS,140,NS,NS,D
HC2,12/7/2017,8.23,NS,26,NS,2,NS,NS,D
HC3,12/7/2017,8.46,NS,70,NS,12,NS,NS,D
J14,12/7/2017,9.18,NS,8,NS,8,NS,NS,D
J16,12/7/2017,9.42,NS,16,NS,4,NS,NS,D
J18,12/7/2017,9.39,NS,10,NS,12,NS,NS,D
CIC3,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
G2,12/5/2017,8.2,7.91,36,NS,31,NS,NS,D
GB1,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
K1,12/5/2017,8.13,8.54,16,NS,4,NS,3.5,D
K2,12/5/2017,8.17,8.08,20,NS,17,NS,4,D
K3,12/5/2017,8.08,8.38,28,NS,32,NS,5,D
K4,12/5/2017,7.91,8.11,12,NS,23,NS,3,D
K5,12/5/2017,8.6,8.43,2,NS,16,NS,4,D
K5A,12/5/2017,8.1,8.51,4,NS,14,NS,3,D
K6,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
N6,12/5/2017,8.31,8.69,4,NS,1,NS,3,D
N7,12/5/2017,8.18,8.6,4,NS,4,NS,3.5,D
N8,12/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
NC0,12/5/2017,5.85,5.88,201,156,208,144,2,D
NC1,12/5/2017,7.2,6.94,148,144,96,36,4,D
NC2,12/5/2017,7.86,7.89,48,40,56,32,4.5,D
NC3,12/5/2017,7.77,8.2,32,32,20,12,4,D
BR5,12/4/2017,8.28,8.53,4,NS,2,NS,5.5,D
E10,12/4/2017,8.75,8.82,8,NS,1,NS,7,D
E11,12/4/2017,8.47,NS,7,NS,2,NS,5,D
E14,12/4/2017,8.64,8.85,8,NS,9,NS,4,D
E15,12/4/2017,8.04,8.21,44,NS,12,NS,4,D
E2,12/4/2017,8.06,7.98,17,NS,10,NS,2,D
E4,12/4/2017,7.8,8,9,NS,8,NS,2,D
E6,12/4/2017,7.99,8.17,18,NS,5,NS,4,D
E7,12/4/2017,8.7,8.62,10,NS,2,NS,5,D
E8,12/4/2017,8.43,8.8,7,NS,2,NS,5,D
FB1,12/4/2017,7.95,8.37,36,NS,20,NS,4.5,D
FLC1,12/4/2017,8.13,8.23,168,NS,64,NS,4,D
FLC2,12/4/2017,8.43,8.23,100,NS,22,NS,4,D
H3,12/4/2017,8.2,8.53,9,NS,8,NS,2,D
LN1,12/4/2017,8.9,NS,48,NS,30,NS,5,D
N1,12/4/2017,8.77,8.34,31,NS,13,NS,1.5,D
N3B,12/4/2017,8.51,8.15,27,NS,6,NS,1,D
N4,12/4/2017,8.7,8.25,16,NS,12,NS,1,D
N5,12/4/2017,8.07,8.19,11,NS,5,NS,1,D
NR1,12/4/2017,8.54,7.94,20,NS,11,NS,1,D
F1,11/21/2017,8.41,NS,176,NS,12,NS,NS,D
F5,11/21/2017,8.53,NS,78,NS,4,NS,NS,D
HC1,11/21/2017,7.47,NS,30,NS,18,NS,NS,D
HC2,11/21/2017,8.07,NS,20,NS,2,NS,NS,D
HC3,11/21/2017,8.32,8.47,2,NS,2,NS,NS,D
J14,11/21/2017,9.57,9.46,12,NS,2,NS,NS,D
J16,11/21/2017,9.35,9.3,22,NS,2,NS,NS,D
J18,11/21/2017,9.55,9.53,18,NS,2,NS,NS,D
CIC3,11/20/2017,8.45,8.52,838,NS,51,NS,5.5,D
G2,11/20/2017,8.87,8.6,16,NS,8,NS,NS,D
GB1,11/20/2017,8.56,8.56,11,NS,1,NS,5.5,D
K1,11/20/2017,8.43,8.33,24,NS,14,NS,3,D
K2,11/20/2017,8.37,8.4,12,NS,9,NS,3.5,D
K3,11/20/2017,8.39,8.24,56,NS,43,NS,5.5,D
K4,11/20/2017,8.15,8.23,72,NS,56,NS,3.5,D
K5,11/20/2017,8.27,8.16,10,NS,17,NS,4.5,D
K5A,11/20/2017,8.44,8.43,10,NS,9,NS,3.5,D
K6,11/20/2017,NS,NS,NS,NS,NS,NS,NS,NS
N6,11/20/2017,8.84,8.3,16,NS,13,NS,3,D
N7,11/20/2017,8.69,8.23,16,NS,9,NS,2.5,D
N8,11/20/2017,8.49,8.48,8,NS,4,NS,6,D
NC0,11/20/2017,4.62,4.57,124,96,48,52,3,D
NC1,11/20/2017,5.49,5.4,60,20,48,16,4.5,D
NC2,11/20/2017,6.2,6.13,24,16,44,28,4,D
NC3,11/20/2017,7.63,7.48,24,28,12,4,3.5,D
AC1,11/16/2017,8.86,NS,946,NS,600,NS,NS,W
AC2,11/16/2017,8.92,NS,240,NS,2100,NS,NS,W
BR1,11/16/2017,10.53,NS,9909,NS,17000,NS,NS,W
BR3,11/16/2017,8.06,NS,60,NS,220,NS,NS,W
E12,11/16/2017,8.61,NS,20,NS,10,NS,NS,W
E13,11/16/2017,7.93,NS,26,NS,12,NS,NS,W
HR03,11/16/2017,7.16,NS,2000,NS,600,NS,NS,W
HR1,11/16/2017,8.06,NS,60,NS,20,NS,NS,W
HR2,11/16/2017,6.13,NS,570,NS,240,NS,NS,W
WC1,11/16/2017,7.17,NS,600,NS,500,NS,NS,W
WC2,11/16/2017,6.34,NS,5900,NS,1700,NS,NS,W
WC3,11/16/2017,8.03,NS,10,NS,12,NS,NS,W
CIC2,11/14/2017,5.77,NS,30000,NS,4700,NS,NS,D
GC3,11/14/2017,11.31,11.56,4,NS,12,NS,NS,D
GC4,11/14/2017,11.33,11.41,232,16,196,40,NS,D
GC5,11/14/2017,11.43,11.42,64,NS,196,NS,NS,D
GC6,11/14/2017,10.93,10.87,40,4,112,108,NS,D
SP1,11/14/2017,9.31,NS,283,NS,82,NS,NS,D
BR5,11/13/2017,7.13,NS,88,NS,78,NS,3,D
E10,11/13/2017,7.95,7.73,54,NS,1,NS,7,D
E11,11/13/2017,8.24,NS,40,NS,3,NS,5,D
E14,11/13/2017,7.68,7.69,64,NS,8,NS,4.5,D
E15,11/13/2017,7.26,NS,460,NS,86,NS,5,D
E2,11/13/2017,7.42,7.33,40,NS,20,NS,4,D
E4,11/13/2017,7.48,7.5,84,NS,10,NS,4,D
E6,11/13/2017,7.44,7.38,62,NS,72,NS,3.5,D
E7,11/13/2017,7.61,7.72,56,NS,5,NS,5,D
E8,11/13/2017,7.78,7.87,50,NS,5,NS,6,D
FB1,11/13/2017,7.51,7.55,251,NS,210,NS,5,D
FLC1,11/13/2017,6.37,NS,380,NS,100,NS,1,D
FLC2,11/13/2017,7.27,7.26,460,NS,200,NS,3,D
H3,11/13/2017,7.32,7.34,120,NS,16,NS,5,D
LN1,11/13/2017,NS,NS,NS,NS,NS,NS,NS,NS
N1,11/13/2017,9.12,7.95,260,NS,32,NS,2,D
N3B,11/13/2017,8.42,7.59,240,NS,16,NS,2,D
N4,11/13/2017,8.14,7.56,88,NS,16,NS,3,D
N5,11/13/2017,8.04,7.64,52,NS,10,NS,4,D
NR1,11/13/2017,8.39,7.57,120,NS,27,NS,2.5,D
BB2,11/1/2017,2.81,NS,4400,NS,490,NS,3,D
BB4,11/1/2017,4.86,5.13,490,NS,56,NS,5,D
GHC,11/1/2017,5.86,6.6,164,NS,17,NS,6.5,D
HOB,11/1/2017,6.05,6.2,290,NS,50,NS,6,D
J1,11/1/2017,5.15,6.21,50,NS,4,NS,5,D
J10,11/1/2017,5.91,6.03,240,NS,3,NS,7,D
J11,11/1/2017,6.07,6.09,41,NS,1,NS,5,D
J12,11/1/2017,5.3,5.61,210,NS,10,NS,6,D
J2,11/1/2017,5.94,6.1,118,NS,1,NS,6,D
J3,11/1/2017,6.14,5.77,220,NS,5,NS,8.5,D
J5,11/1/2017,6.54,7,152,NS,8,NS,7,D
J7,11/1/2017,6.81,6.47,132,NS,3,NS,5,D
J8,11/1/2017,4.23,4.26,140,NS,6,NS,7.5,D
J9A,11/1/2017,3.72,3.85,410,NS,9,NS,7,D
JA1,11/1/2017,6.64,6.94,234,NS,6,NS,5.5,D
N16,11/1/2017,6.54,6.08,44,NS,1,NS,4,D
N9,11/1/2017,5.51,5.67,86,NS,4,NS,3.5,D
N9A,11/1/2017,6.7,6.45,36,NS,4,NS,2.5,D
PB2,11/1/2017,6.23,6.07,570,NS,17,NS,6,D
PB3,11/1/2017,6.53,NS,227,NS,3,NS,6,D
SP2,11/1/2017,6.22,NS,117,NS,3,NS,6.5,D
TB1,11/1/2017,4.13,4.91,697,NS,250,NS,6,D
TB2,11/1/2017,5.21,5.93,580,NS,126,NS,6,D
AC1,10/26/2017,6.78,NS,9636,NS,5800,NS,NS,D
AC2,10/26/2017,7.24,NS,3900,NS,400,NS,NS,D
BR1,10/26/2017,7.16,NS,291,NS,168,NS,NS,D
BR3,10/26/2017,3.38,NS,220,NS,132,NS,NS,D
E12,10/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
E13,10/26/2017,6.66,NS,15,NS,4,NS,NS,D
HR03,10/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
HR1,10/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
HR2,10/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC1,10/26/2017,5.2,NS,118,NS,114,NS,NS,D
WC2,10/26/2017,3.59,NS,269,NS,58,NS,NS,D
WC3,10/26/2017,6.45,NS,40,NS,9,NS,NS,D
F1,10/25/2017,6.3,NS,400,NS,28,NS,NS,W
F5,10/25/2017,6.36,NS,520,NS,36,NS,NS,W
HC1,10/25/2017,6.98,NS,30,NS,10,NS,NS,W
HC2,10/25/2017,6.37,NS,20,NS,10,NS,NS,W
HC3,10/25/2017,6.47,NS,50,NS,10,NS,NS,W
J14,10/25/2017,6.16,NS,20,NS,8,NS,NS,W
J16,10/25/2017,7.32,7.1,12,NS,4,NS,NS,W
J18,10/25/2017,7.02,6.53,12,NS,4,NS,NS,W
CIC2,10/23/2017,7.23,NS,410,NS,8,NS,NS,D
GC3,10/23/2017,10.02,NS,4,NS,4,NS,NS,D
GC4,10/23/2017,9.9,9.88,8,8,8,12,NS,D
GC5,10/23/2017,9.84,9.81,4,4,4,12,NS,D
GC6,10/23/2017,9.39,9.01,100,12,12,12,NS,D
SP1,10/23/2017,11.7,NS,12,NS,2,NS,NS,D
F1,10/19/2017,6.62,NS,320,NS,8,NS,NS,D
F5,10/19/2017,6.42,NS,231,NS,4,NS,NS,D
HC1,10/19/2017,6.41,NS,32,NS,20,NS,NS,D
HC2,10/19/2017,6.14,NS,30,NS,10,NS,NS,D
HC3,10/19/2017,6.25,NS,20,NS,4,NS,NS,D
J14,10/19/2017,8.13,NS,6,NS,10,NS,NS,D
J16,10/19/2017,7.14,7.19,4,NS,4,NS,NS,D
J18,10/19/2017,7.38,7.2,2,NS,4,NS,NS,D
CIC3,10/17/2017,6.02,6.13,2200,NS,29,NS,6.5,D
E12,10/17/2017,7.04,NS,4,NS,4,NS,NS,D
E13,10/17/2017,6.19,NS,30,NS,1,NS,NS,D
G2,10/17/2017,6.7,6.35,8,NS,12,NS,6.5,D
GB1,10/17/2017,6.86,6.81,53,NS,3,NS,7,D
HR03,10/17/2017,4.3,NS,88,NS,12,NS,NS,D
HR1,10/17/2017,5.79,NS,12,NS,4,NS,NS,D
HR2,10/17/2017,3.29,NS,1600,NS,160,NS,NS,D
K1,10/17/2017,6.27,6.24,20,NS,1,NS,4,D
K2,10/17/2017,6.62,6.58,12,NS,20,NS,6,D
K3,10/17/2017,6.09,6.25,8,NS,1,NS,8,D
K4,10/17/2017,5.82,5.64,8,NS,7,NS,5,D
K5,10/17/2017,5.72,5.77,28,NS,8,NS,4,D
K5A,10/17/2017,6.04,6.2,2,NS,3,NS,4.5,D
K6,10/17/2017,7.28,7.21,1,NS,1,NS,4.5,D
N6,10/17/2017,6.21,6.3,20,NS,1,NS,4,D
N7,10/17/2017,5.95,6.29,8,NS,1,NS,4,D
N8,10/17/2017,6.66,6.55,12,NS,2,NS,4.5,D
NC0,10/17/2017,2.87,2.67,52,72,32,28,4,D
NC1,10/17/2017,3.18,3.01,24,32,4,4,4,D
NC2,10/17/2017,3.58,3.66,84,64,16,8,5.5,D
NC3,10/17/2017,4.94,5.25,24,50,8,20,5.5,D
WC1,10/17/2017,5.84,NS,72,NS,8,NS,NS,D
WC2,10/17/2017,4.18,NS,46,NS,40,NS,NS,D
WC3,10/17/2017,6.38,NS,14,NS,2,NS,NS,D
BR5,10/16/2017,5.93,5.89,22,NS,13,NS,4,D
CIC2,10/16/2017,3.07,NS,9000,NS,1100,NS,NS,D
E10,10/16/2017,6.81,6.59,1,NS,1,NS,5,D
E11,10/16/2017,6.46,NS,6,NS,2,NS,4,D
E14,10/16/2017,6.11,6.25,7,NS,1,NS,4,D
E15,10/16/2017,3.96,NS,48,NS,16,NS,3.5,D
E2,10/16/2017,5.91,5.84,13,NS,4,NS,5,D
E4,10/16/2017,6.1,6.02,20,NS,3,NS,4,D
E6,10/16/2017,6.51,6.5,11,NS,3,NS,5,D
E7,10/16/2017,6.56,6.31,4,NS,1,NS,4,D
E8,10/16/2017,7.08,6.55,8,NS,1,NS,4,D
FB1,10/16/2017,6.38,6.33,80,NS,7,NS,3,D
FLC1,10/16/2017,4.81,NS,1400,NS,76,NS,3,D
FLC2,10/16/2017,5.59,5.72,400,NS,51,NS,3.5,D
GC3,10/16/2017,9.62,NS,24,NS,4,NS,NS,D
GC4,10/16/2017,9.5,NS,60,NS,16,NS,NS,D
GC5,10/16/2017,9.49,NS,84,NS,8,NS,NS,D
GC6,10/16/2017,8.82,8.92,152,280,36,16,NS,D
H3,10/16/2017,5.8,5.76,3,NS,8,NS,4,D
LN1,10/16/2017,5.55,NS,5,NS,1,NS,3.5,D
N1,10/16/2017,6.69,6.06,7,NS,2,NS,2.5,D
N3B,10/16/2017,6.27,5.81,1,NS,1,NS,3,D
N4,10/16/2017,6.28,6.01,14,NS,5,NS,2.5,D
N5,10/16/2017,6.11,5.74,9,NS,4,NS,3,D
NR1,10/16/2017,6.33,6.34,5,NS,1,NS,3,D
SP1,10/16/2017,8.75,NS,6000,NS,18,NS,NS,D
AC1,10/13/2017,6.63,NS,8636,NS,9000,NS,NS,D
AC2,10/13/2017,9.36,NS,24000,NS,16000,NS,NS,D
BR1,10/13/2017,7.13,NS,2000,NS,152,NS,NS,D
BR3,10/13/2017,3.88,NS,2500,NS,100,NS,NS,D
BR5,10/12/2017,4.68,NS,156,NS,230,NS,4.5,D
E10,10/12/2017,NS,NS,NS,NS,NS,NS,NS,NS
E11,10/12/2017,5.32,NS,29,NS,6,NS,4,D
E12,10/12/2017,4.58,NS,176,NS,68,NS,NS,D
E13,10/12/2017,6.03,NS,34,NS,4,NS,NS,D
E14,10/12/2017,5.84,5.78,16,NS,10,NS,4.5,D
E15,10/12/2017,5,NS,580,NS,90,NS,2,D
E2,10/12/2017,5.43,5.58,40,NS,16,NS,4.5,D
E4,10/12/2017,5.1,5.33,5,NS,2,NS,4,D
E6,10/12/2017,5.85,5.62,120,NS,17,NS,4.5,D
E7,10/12/2017,5.99,5.93,17,NS,6,NS,5,D
E8,10/12/2017,6.17,5.82,7,NS,2,NS,4.5,D
FB1,10/12/2017,5.65,5.65,236,NS,28,NS,4,D
FLC1,10/12/2017,3.95,3.77,1118,NS,200.23,NS,3.5,D
FLC2,10/12/2017,5,5.15,580,NS,62,NS,2.5,D
H3,10/12/2017,5.62,5.45,11,NS,11,NS,2,D
HR03,10/12/2017,2,NS,3500,NS,2300,NS,NS,D
HR1,10/12/2017,2.97,NS,5500,NS,2400,NS,NS,D
HR2,10/12/2017,0.88,NS,5400,NS,3800,NS,NS,D
LN1,10/12/2017,NS,NS,NS,NS,NS,NS,NS,NS
N1,10/12/2017,6.01,5.49,20,NS,1,NS,2,D
N3B,10/12/2017,6.34,5.53,11,NS,1,NS,3,D
N4,10/12/2017,6.01,5.59,76,NS,14,NS,3.5,D
N5,10/12/2017,6.34,5.86,3,NS,1,NS,4,D
NR1,10/12/2017,5.83,5.5,28,NS,10,NS,3,D
WC1,10/12/2017,3.56,NS,410,NS,164,NS,NS,D
WC2,10/12/2017,2.74,NS,2300,NS,970,NS,NS,D
WC3,10/12/2017,5.35,NS,370,NS,36,NS,NS,D
BB2,10/11/2017,5.07,5.04,380,NS,10,NS,4.5,D
BB4,10/11/2017,4.96,4.37,480,NS,12,NS,5.5,D
CIC2,10/11/2017,5.43,5.42,2400,NS,60,NS,NS,D
GC3,10/11/2017,9.06,NS,16,NS,12,NS,NS,D
GC4,10/11/2017,8.91,8.9,64,40,8,28,NS,D
GC5,10/11/2017,8.77,8.69,72,88,24,36,NS,D
GC6,10/11/2017,8.14,8.12,200,168,36,128,NS,D
GHC,10/11/2017,5.9,5.02,12,NS,1,NS,6,D
HOB,10/11/2017,5.59,5.32,24,NS,3,NS,7,D
J1,10/11/2017,5.76,6.06,21,NS,3,NS,5,D
J10,10/11/2017,5.38,5.36,8,NS,2,NS,5.5,D
J11,10/11/2017,5.75,5.8,230,NS,2,NS,5,D
J12,10/11/2017,5.91,4.71,118,NS,10,NS,6,D
J2,10/11/2017,5.48,5.83,14,NS,1,NS,5,D
J3,10/11/2017,5.6,5.6,15,NS,1,NS,5,D
J5,10/11/2017,5.39,5.59,5,NS,1,NS,5.5,D
J7,10/11/2017,6.17,5.08,96,NS,2,NS,6,D
J8,10/11/2017,5.16,5.26,52,NS,1,NS,6,D
J9A,10/11/2017,5.43,5.7,28,NS,1,NS,5,D
JA1,10/11/2017,4.9,5.18,144,NS,4,NS,6,D
N16,10/11/2017,6.22,5.98,1,NS,1,NS,8.5,D
N9,10/11/2017,5.85,5.93,10,NS,2,NS,6,D
N9A,10/11/2017,6.19,6.16,1,NS,1,NS,6,D
PB2,10/11/2017,5.13,5.16,310,NS,13,NS,5.5,D
PB3,10/11/2017,5.48,5.46,42,NS,1,NS,6.5,D
SP1,10/11/2017,5.49,NS,116,NS,14,NS,NS,D
SP2,10/11/2017,4.52,NS,82,NS,2,NS,6,D
TB1,10/11/2017,5.17,5.41,40,NS,3,NS,8,D
TB2,10/11/2017,5.28,4.98,30,NS,2,NS,7.5,D
CIC3,10/10/2017,4.8,4.97,1135,NS,46,NS,5,W
F1,10/10/2017,4.73,NS,811,NS,40,NS,NS,W
F5,10/10/2017,5.34,NS,874,NS,4,NS,NS,W
G2,10/10/2017,5.7,4.93,580,NS,70,NS,6,W
GB1,10/10/2017,5.26,5.96,83,NS,6,NS,5,W
HC1,10/10/2017,5.14,NS,80,NS,40,NS,NS,W
HC2,10/10/2017,5.22,NS,230,NS,10,NS,NS,W
HC3,10/10/2017,5.47,NS,120,NS,10,NS,NS,W
J14,10/10/2017,5.55,NS,12,NS,4,NS,NS,W
J16,10/10/2017,6.3,6.28,8,NS,4,NS,NS,W
J18,10/10/2017,6.2,5.95,10,NS,4,NS,NS,W
K1,10/10/2017,5.45,5.06,96,NS,12,NS,4,W
K2,10/10/2017,4.89,4.07,460,NS,24,NS,6.5,W
K3,10/10/2017,5.29,5.38,560,NS,34,NS,6,W
K4,10/10/2017,4.76,4.46,56,NS,32,NS,4,W
K5,10/10/2017,6.24,4.82,60,NS,4,NS,4,W
K5A,10/10/2017,5.45,5.49,12,NS,2,NS,5,W
K6,10/10/2017,5.9,6.02,28,NS,8,NS,5.5,W
N6,10/10/2017,5.36,5.14,44,NS,14,NS,5.5,W
N7,10/10/2017,5.5,5.62,76,NS,24,NS,5,W
N8,10/10/2017,5.04,5.39,40,NS,24,NS,5,W
NC0,10/10/2017,1.97,1.8,20000,21000,11400,9700,3,W
NC1,10/10/2017,2.14,1.97,7909,6091,4900,2000,3.5,W
NC2,10/10/2017,2.45,2.48,4100,3600,1900,1260,4,W
NC3,10/10/2017,2.99,2.56,2600,2100,535,390,4,W
AC1,10/5/2017,6.26,NS,84,NS,28,NS,NS,D
AC2,10/5/2017,5.62,NS,176,NS,140,NS,NS,D
BR1,10/5/2017,7.54,NS,452,NS,300,NS,NS,D
BR3,10/5/2017,5.36,NS,132,NS,28,NS,NS,D
F1,10/5/2017,7.93,NS,46,NS,12,NS,NS,D
F5,10/5/2017,7.43,NS,42,NS,10,NS,NS,D
HC1,10/5/2017,6.35,NS,6,NS,22,NS,NS,D
HC2,10/5/2017,6.39,NS,16,NS,4,NS,NS,D
HC3,10/5/2017,6.75,NS,12,NS,4,NS,NS,D
J14,10/5/2017,7.24,NS,2,NS,4,NS,NS,D
J16,10/5/2017,7.64,7.42,2,NS,2,NS,NS,D
J18,10/5/2017,7.03,7.07,30,NS,4,NS,NS,D
BB2,10/4/2017,5.38,NS,290,NS,17,NS,2.5,D
BB4,10/4/2017,10.37,9.67,10,NS,1,NS,2.5,D
GHC,10/4/2017,7.17,6.61,10,NS,1,NS,4,D
HOB,10/4/2017,5.93,6.13,4,NS,2,NS,5,D
J1,10/4/2017,8.28,8.09,4,NS,1,NS,4,D
J10,10/4/2017,7.4,7.9,12,NS,1,NS,5,D
J11,10/4/2017,9.1,8.34,147,NS,4,NS,3,D
J12,10/4/2017,9.87,8.62,4,NS,1,NS,4,D
J2,10/4/2017,8.08,7.46,6,NS,1,NS,4.5,D
J3,10/4/2017,8,7.99,20,NS,1,NS,4.5,D
J5,10/4/2017,7.92,7.91,1,NS,1,NS,4,D
J7,10/4/2017,11.5,10.33,8,NS,1,NS,3.5,D
J8,10/4/2017,9.39,9.54,8,NS,1,NS,4.5,D
J9A,10/4/2017,8.6,8.32,24,NS,1,NS,4.5,D
JA1,10/4/2017,6.75,6.69,4,NS,1,NS,4,D
N16,10/4/2017,8.05,7.42,1,NS,1,NS,5,D
N9,10/4/2017,7.94,7.59,1,NS,1,NS,4,D
N9A,10/4/2017,8.08,8.03,1,NS,1,NS,3.5,D
PB2,10/4/2017,9.81,10.24,72,NS,2,NS,3,D
PB3,10/4/2017,10,NS,28,NS,1,NS,3,D
SP2,10/4/2017,8.79,NS,11,NS,1,NS,4,D
TB1,10/4/2017,4.83,4.53,72,NS,12,NS,3.5,D
TB2,10/4/2017,5.28,5.45,12,NS,3,NS,4,D
CIC3,10/3/2017,6.94,7.2,440,NS,8,NS,5,D
E12,10/3/2017,7.75,NS,4,NS,4,NS,NS,D
E13,10/3/2017,6.36,NS,3,NS,1,NS,NS,D
G2,10/3/2017,7.1,6.48,24,NS,12,NS,7,D
GB1,10/3/2017,7.4,7.44,12,NS,1,NS,5.5,D
HR03,10/3/2017,4.29,NS,152,NS,24,NS,NS,D
HR1,10/3/2017,6.17,NS,4,NS,4,NS,NS,D
HR2,10/3/2017,3.07,NS,627,NS,24,NS,NS,D
K1,10/3/2017,6.98,6.46,4,NS,1,NS,5,D
K2,10/3/2017,7.44,6.7,4,NS,2,NS,5.5,D
K3,10/3/2017,6.44,7.15,16,NS,6,NS,6.5,D
K4,10/3/2017,6.07,6.44,40,NS,8,NS,5,D
K5,10/3/2017,6.86,7.25,8,NS,1,NS,4.5,D
K5A,10/3/2017,7.83,7.55,4,NS,1,NS,3.5,D
K6,10/3/2017,8.52,8.6,1,NS,1,NS,4,D
N6,10/3/2017,7.13,6.7,4,NS,10,NS,5,D
N7,10/3/2017,6.37,6.34,4,NS,1,NS,4,D
N8,10/3/2017,6.77,6.61,2,NS,1,NS,4.5,D
NC0,10/3/2017,4.34,4.25,16,24,20,36,2.5,D
NC1,10/3/2017,6.2,5.08,120,48,16,4,3,D
NC2,10/3/2017,5.35,5.26,4,4,4,4,3.5,D
NC3,10/3/2017,5.67,5.73,12,12,10,12,5,D
WC1,10/3/2017,11.46,NS,108,NS,6,NS,NS,D
WC2,10/3/2017,10.53,NS,28,NS,8,NS,NS,D
WC3,10/3/2017,6.48,NS,2,NS,1,NS,NS,D
BR5,10/2/2017,6.14,NS,18,NS,3,NS,4,D
CIC2,10/2/2017,6.51,NS,110000,NS,4000,NS,NS,D
E10,10/2/2017,6.63,6.29,1,NS,1,NS,5,D
E11,10/2/2017,6.75,NS,2,NS,1,NS,5.5,D
E14,10/2/2017,6.36,6.23,2,NS,1,NS,5,D
E15,10/2/2017,7.43,NS,20,NS,1,NS,4,D
E2,10/2/2017,5.9,5.82,14,NS,4,NS,4.5,D
E4,10/2/2017,5.9,6.08,2,NS,1,NS,5,D
E6,10/2/2017,6.17,6.16,6,NS,3,NS,5.5,D
E7,10/2/2017,6.36,6.13,2,NS,1,NS,4,D
E8,10/2/2017,6.33,5.96,1,NS,1,NS,5,D
FB1,10/2/2017,7.32,7.22,28,NS,2,NS,3,D
FLC1,10/2/2017,5.09,NS,530,NS,20,NS,2,D
FLC2,10/2/2017,7.35,7.11,330,NS,11,NS,4,D
GC3,10/2/2017,9.44,9.34,24,20,4,4,NS,D
GC4,10/2/2017,9.27,9.25,80,264,12,4,NS,D
